,Time (Seconds),W,X,Y,Z,roll rad,pitch rad,yaw rad,roll deg std dev,pitch deg std dev,yaw deg std dev,roll deg,pitch deg,yaw deg,omega_x deg,omega_y deg,omega_z deg,omega_x rad,omega_y rad,omega_z rad
647,64.7,0.57164325,0.010717500000000001,0.8199687499999999,0.00226225,0.008574552755889805,0.020164539314100824,-2.4367489564383753,,,,0.49128568412475465,1.155342998523601,-139.61543093682658,0.8765483875741871,1.0479553544548612,226.06294775111,0.015298655416216916,0.018290271349141553,3.94554275502078
648,64.8,0.48828400000000005,0.00890475,0.872182,0.00549325,-0.0008568417451460968,0.02089992177663869,-2.042672152664456,,,,-0.04909341570749544,1.197477309954958,-117.0364932765759,-0.6851542288908538,0.6147664474231562,225.739621346869,-0.011958197178108254,0.010729698638322686,3.9398996447081407
649,64.9,0.40022825000000006,0.0059622500000000005,0.91594375,0.008478000000000001,-0.01073063134684916,0.017710110052316614,-1.6486487550831737,,,,-0.6148198876852391,1.0147145607099555,-94.46061556576318,-1.659260933877725,0.5945855543611539,225.72998936194986,-0.028959566445882226,0.010377475608397864,3.939731534857799
650,65.0,0.30826875000000004,0.0033429999999999996,0.9508445000000001,0.01042125,-0.01772979342011425,0.01278352880244678,-1.2546079415952633,,,,-1.0158423346113639,0.732442247664128,-71.88373999700427,-1.1241816852511668,1.1800171562315547,225.7648713311244,-0.019620671798251436,0.020595184606260954,3.940340340069474
651,65.1,0.213493,0.00149275,0.97648975,0.011281,-0.021366968979050518,0.0077329592016495445,-0.8613612748520431,,,,-1.2242371434865482,0.4430659254013734,-49.35236568503016,-0.34162347053610487,1.9206588347094256,225.31740296476994,-0.005962454362944868,0.033521820473197024,3.9325305437780687
652,65.2,0.11692225,0.0021455,0.992697,0.010207750000000002,-0.019736933569721327,0.006647480902314384,-0.46910512730376663,,,,-1.130842994075106,0.3808726000964305,-26.877743942453026,2.4279266793102257,3.81360305605357,224.70975387853548,0.04237531455097592,0.06655992969225266,3.9219250665265424
653,65.3,0.0188425,0.00495325,0.9993869999999999,0.008464,-0.016703131197052468,0.010220313981980391,-0.07520240088534547,,,,-0.957018922244405,0.5855808564660209,-4.308780179981181,4.044819521277078,5.816148476579601,225.6121787256379,0.07059541829522585,0.10151094070116634,3.937675351360286
654,65.4,0.0792635,-0.00965,-0.996405,-0.00470275,-0.01087406805210601,0.018486899475771156,0.31807005485116047,,,,-0.6230382055237185,1.0592213162443014,18.22407173246609,7.505195575515192,7.185895251625621,225.2251928807559,0.1309903737988508,0.1254175318442935,3.930921174208483
655,65.5,0.1772275,-0.014599999999999998,-0.98367225,0.00180425,-0.001596678385723953,0.02936771899884342,0.7137008929620733,,,,-0.09148293274174382,1.6826463525598911,40.89204900144492,11.971663723795736,6.5960208898226265,226.57178535537187,0.2089449489218006,0.11512228205773097,3.95442364657311
656,65.6,0.27226324999999996,-0.0175605,-0.9616485,0.00742925,0.004759386359804567,0.03782924483216859,1.1042947232580305,,,,0.27269275148893396,2.1674560710503403,63.271426981252375,12.105687472639524,3.7836872621340425,223.65420968901157,0.21128410461499064,0.06603780059000881,3.9035023450190547
657,65.7,0.3653085,-0.015862750000000002,-0.9302675,0.0116575,0.010136567239100155,0.03804028543714177,1.4975110547146675,,,,0.5807825215510162,2.179547807021191,85.80106320933494,11.64916880900814,-2.1611293439849892,225.1230324248144,0.20331635083781852,-0.037718822614003174,3.929138137886965
658,65.8,0.4544375,-0.011997249999999997,-0.890165,0.01407475,0.01419192652340389,0.03415863740477251,1.8889041646443567,,,,0.8131374929508143,1.9571457572111726,108.22623653880602,9.982193789282691,-5.40439733500099,224.06678427030917,0.174222148195112,-0.09432452758177426,3.910703129872735
659,65.9,0.539265,-0.00523525,-0.84158775,0.012744249999999999,0.01583860611701731,0.022559556743251524,2.2805089604974187,,,,0.9074852838751808,1.2925673890742089,130.66353857826866,6.004804455807971,-10.197653188409754,224.18253626180703,0.10480360869227542,-0.17798262411424787,3.912723383240113
660,66.0,0.61851175,0.00014174999999999995,-0.7852352499999999,0.00982125,0.01563056187879109,0.01192752855401882,2.6700963543324128,,,,0.8955652270728041,0.683397046167056,152.98525199651485,2.543165045312875,-9.579578288798926,223.07877831038596,0.04438660346234045,-0.1671951820921055,3.8934591728427477
661,66.1,0.69268175,0.0028805000000000002,-0.72068175,0.0064955,0.013382956613115107,0.00484754296825671,3.0639052348906297,,,,0.7667869313381901,0.27774375308942906,175.54883878727222,-0.194007676207282,-7.075719080771957,225.55872450639697,-0.0033860727239601353,-0.12349459490565726,3.9367423992354484
662,66.2,0.76001525,0.00212975,-0.64931425,0.0034722500000000005,0.0077760356016081346,0.0025129174375157146,-2.82648419225702,,,,0.44553402131561815,0.1439795634344802,-161.9456150767708,-11.693477156165935,-7.075719080771957,225.55872450639697,-0.2040896773818387,-0.12349459490565726,3.9367423992354484
663,66.3,0.8198685000000001,-0.0018202499999999998,-0.5718825000000001,0.0031360000000000003,0.0006316172473988916,0.00722495925025532,-2.4347625833662967,,,,0.036189002543626864,0.4139596721936334,-139.50162014325807,-2.4718948072718887,2.558044115408099,224.43575194679795,-0.04314270314984513,0.044646292225137135,3.9171428306608975
664,66.4,0.87180025,-0.00717275,-0.48901425,0.00612975,-0.006482922012871723,0.017704656831853145,-2.0432961741710507,,,,-0.3714440702500061,1.0144021141926445,-117.07224707522917,-0.10549465061229792,7.458138934727498,224.2149400900083,-0.0018412289964256506,0.1301690804821773,3.913288936732476
665,66.5,0.915374,-0.01242975,-0.40136175,0.00976425,-0.014894610994716815,0.027857879332085316,-1.6512776956992434,,,,-0.8533983474864264,1.5961389119132132,-94.6112427676545,1.4368074124516081,9.160780202179396,224.41134420774966,0.025077020064340733,0.15988577657954228,3.9167168352515374
666,66.6,0.9502015,-0.016141,-0.309676,0.013948499999999999,-0.022022387074958294,0.03651358735590473,-1.258405452950162,,,,-1.2617898341985643,2.092074450375588,-72.10132137029298,4.133438708421914,9.911670204465626,224.7854204154455,0.07214211489134427,0.17299127943974474,3.9232456967292038
667,66.7,0.9760017500000001,-0.01679075,-0.21475825,0.01613675,-0.02583740870738641,0.038721314378587876,-0.8646185207580084,,,,-1.480374472487805,2.2185678910923152,-49.53899212827824,6.548401070823304,7.089015665835245,225.3462423025063,0.11429115942698903,0.12372666409428311,3.933033885175663
668,66.8,0.9923624999999999,-0.014896250000000002,-0.11836550000000001,0.015754749999999998,-0.025824388125984525,0.0348030182762751,-0.4735233565194532,,,,-1.4796284481266706,1.9940660615472323,-27.130889829433265,7.804581915541739,3.53833853635532,223.92862707733022,0.13621565116780934,0.06175565750959742,3.9082918319699393
669,66.9,0.9992534999999999,-0.01044975,-0.020699250000000002,0.01389725,-0.020288578355367726,0.028210839815772628,-0.08211826072201601,,,,-1.1624499120830436,1.6163620579633924,-4.705029760326438,9.497469693052343,0.7715030849046804,224.19985842112794,0.16576211675213862,0.013465269020880036,3.9130257119538183
670,67.0,0.99662025,-0.0058405,0.07654225,0.010313,-0.013193740237840805,0.01966420932192813,0.30672881877417285,,,,-0.7559456316202091,1.126676201608292,17.574266770793194,8.445807970688028,-1.9576134138772392,222.79511049893944,0.14740715707968682,-0.034166799553364276,3.8885082355510794
671,67.1,0.9843915000000001,0.0011135,0.17363375,0.00897275,-0.0008943696569132384,0.018053803569075055,0.6979642758311198,,,,-0.05124360666569199,1.034406748666223,39.99040725602801,11.093766379538527,-0.7222437001979675,224.1256098717315,0.1936227497699982,-0.012605530570241353,3.9117298303020207
672,67.2,0.96269725,0.00509625,0.26905,0.00717725,0.005980551206659976,0.016562829900038798,1.0893048119728876,,,,0.34266034330348843,0.9489802500653103,62.412568329338164,7.652614103571691,-2.1950266128157248,224.1817381283202,0.13356331249188036,-0.03831044156253316,3.9127094531828974
673,67.3,0.9321410000000001,0.009548250000000001,0.36090175,0.006584,0.0130805324431356,0.019168309554655264,1.4764669337327734,,,,0.7494593027756173,1.0982632378820372,84.59532389350971,8.319788468963692,-1.40830459466253,221.78735732122053,0.1452077018528745,-0.02457955204782531,3.870919624552449
674,67.4,0.8923465,0.01047225,0.45032700000000003,0.0066095,0.012769582739094792,0.02123013977498998,1.8680399965142835,,,,0.731643197093237,1.216397407579745,107.03080776190146,4.584565733704975,-1.682948839586115,224.30107740669726,0.0800157668272614,-0.029372998393395588,3.914792316517531
675,67.5,0.8444142499999999,0.010357750000000002,0.53484525,0.006473,0.01060060289727337,0.022013894404393195,2.2569362942971574,,,,0.6073698063079167,1.2613032400183892,129.31292429312302,3.662031523001492,-1.9123890572518254,222.7594204711441,0.0639145073881985,-0.03337748562815469,3.8878853270559226
